metric_name,metric_display,metric_kind,metric_type,metric_ unit,metric_resource,metric_description
gcp.dataflow.job.backlog_bytes,Per-stage backlog in bytes,GAUGE,INT64,By,dataflow_job,"Amount of known, unprocessed input for a stage, in bytes. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.dataflow.job.backlog_elements,Per-stage backlog in elements,GAUGE,INT64,1,dataflow_job,"Amount of known, unprocessed input for a stage, in elements. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.dataflow.job.bigquery.write_count,BigQueryIO.Write Requests,DELTA,INT64,1,dataflow_job,"BigQuery write requests from BigQueryIO.Write in Dataflow jobs. Sampled every 60 seconds. After sampling, data is not visible for up to 60 seconds."
gcp.dataflow.job.billable_shuffle_data_processed,Billable shuffle data processed,GAUGE,INT64,By,dataflow_job,"The billable bytes of shuffle data processed by this Dataflow job. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.dataflow.job.current_num_vcpus,Current number of vCPUs in use,GAUGE,INT64,1,dataflow_job,"The number of vCPUs currently being used by this Dataflow job. This is the current number of workers times the number of vCPUs per worker. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.dataflow.job.current_shuffle_slots,Current shuffle slots in use,GAUGE,INT64,1,dataflow_job,"The current shuffle slots used by this Dataflow job. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.dataflow.job.data_watermark_age,Data watermark lag,GAUGE,INT64,s,dataflow_job,"The age (time since event timestamp) up to which all data has been processed by the pipeline. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.dataflow.job.disk_space_capacity,Disk Space Capacity,GAUGE,INT64,By,dataflow_job,"The amount of persistent disk currently being allocated to all workers associated with this Dataflow job. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.dataflow.job.elapsed_time,Elapsed time,GAUGE,INT64,s,dataflow_job,"Duration that the current run of this pipeline has been in the Running state so far, in seconds. When a run completes, this stays at the duration of that run until the next run starts. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.dataflow.job.element_count,Element count,GAUGE,INT64,1,dataflow_job,"Number of elements added to the pcollection so far. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.dataflow.job.elements_produced_count,Elements Produced,DELTA,INT64,1,dataflow_job,"The number of elements produced by each PTransform. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.dataflow.job.estimated_byte_count,Estimated byte count,GAUGE,INT64,By,dataflow_job,"An estimated number of bytes added to the pcollection so far.  Dataflow calculates the average encoded size of elements in a pcollection and mutiplies it by the number of elements. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.dataflow.job.estimated_bytes_produced_count,Estimated Bytes Produced,DELTA,INT64,1,dataflow_job,"The estimated total byte size of elements produced by each PTransform. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.dataflow.job.gpu_memory_utilization,GPU memory utilization,GAUGE,INT64,%,dataflow_job,Percent of time over the past sample period during which global (device) memory was being read or written.
gcp.dataflow.job.gpu_utilization,GPU utilization,GAUGE,INT64,%,dataflow_job,Percent of time over the past sample period during which one or more kernels was executing on the GPU.
gcp.dataflow.job.is_failed,Failed,GAUGE,INT64,1,dataflow_job,"Has this job failed. Sampled every 60 seconds. After sampling, data is not visible for up to 60 seconds."
gcp.dataflow.job.memory_capacity,Memory Capacity,GAUGE,INT64,By,dataflow_job,"The amount of memory currently being allocated to all workers associated with this Dataflow job. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.dataflow.job.per_stage_data_watermark_age,Per-stage data watermark lag,GAUGE,INT64,s,dataflow_job,"The age (time since event timestamp) up to which all data has been processed by this stage of the pipeline. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.dataflow.job.per_stage_system_lag,Per-stage system lag,GAUGE,INT64,s,dataflow_job,"The current maximum duration that an item of data has been processing or awaiting processing in seconds, per pipeline stage. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.dataflow.job.pubsub.read_count,PubsubIO.Read requests from Dataflow jobs,DELTA,INT64,1,dataflow_job,"Pub/Sub Pull Requests. Sampled every 60 seconds. After sampling, data is not visible for up to 60 seconds."
gcp.dataflow.job.pubsub.read_latencies,PubsubIO.Read requests from Dataflow jobs,DELTA,DISTRIBUTION,ms,dataflow_job,"Pub/Sub Pull request latencies from PubsubIO.Read in Dataflow jobs. Sampled every 60 seconds. After sampling, data is not visible for up to 60 seconds."
gcp.dataflow.job.pubsub.write_count,PubsubIO.Read requests from Dataflow jobs,DELTA,INT64,1,dataflow_job,"Pub/Sub Publish requests from PubsubIO.Write in Dataflow jobs. Sampled every 60 seconds. After sampling, data is not visible for up to 60 seconds."
gcp.dataflow.job.pubsub.write_latencies,PubsubIO.Read requests from Dataflow jobs,DELTA,DISTRIBUTION,ms,dataflow_job,"Pub/Sub Publish request latencies from PubsubIO.Write in Dataflow jobs. Sampled every 60 seconds. After sampling, data is not visible for up to 60 seconds."
gcp.dataflow.job.status,Status,GAUGE,STRING,(blank),dataflow_job,"Current state of this pipeline (e.g.: RUNNING, DONE, CANCELLED, FAILED, ...). Not reported while the pipeline is not running. Sampled every 60 seconds. After sampling, data is not visible for up to 60 seconds."
gcp.dataflow.job.system_lag,System lag,GAUGE,INT64,s,dataflow_job,"The current maximum duration that an item of data has been processing or awaiting processing, in seconds. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.dataflow.job.thread_time,Thread Time,DELTA,INT64,ms,dataflow_job,"Estimated time in milliseconds spent running in the function of the ptransform totaled across threads on all workers of the job. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.dataflow.job.total_memory_usage_time,Total memory usage time,GAUGE,INT64,GBy.s,dataflow_job,"The total GB seconds of memory allocated to this Dataflow job. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.dataflow.job.total_pd_usage_time,Total PD usage time,GAUGE,INT64,GBy.s,dataflow_job,"The total GB seconds for all persistent disk used by all workers associated with this Dataflow job. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.dataflow.job.total_shuffle_data_processed,Total shuffle data processed,GAUGE,INT64,By,dataflow_job,"The total bytes of shuffle data processed by this Dataflow job. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.dataflow.job.total_streaming_data_processed,Total streaming data processed,GAUGE,INT64,By,dataflow_job,"The total bytes of streaming data processed by this Dataflow job. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.dataflow.job.total_vcpu_time,Total vCPU time,GAUGE,INT64,s,dataflow_job,"The total vCPU seconds used by this Dataflow job. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.dataflow.job.user_counter,User Counter,GAUGE,DOUBLE,1,dataflow_job,"A user-defined counter metric. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
