metric_name,metric_display,metric_kind,metric_type,metric_ unit,metric_resource,metric_description
gcp.logging.billing.bytes_ingested,Log bytes ingested,DELTA,INT64,By,global,"Log bytes ingested. Sampled every 60 seconds. After sampling, data is not visible for up to 300 seconds."
gcp.logging.billing.log_bucket_bytes_ingested,Log bucket bytes ingested,DELTA,INT64,By,global,"Log bucket bytes ingested. Sampled every 60 seconds. After sampling, data is not visible for up to 300 seconds."
gcp.logging.billing.log_bucket_monthly_bytes_ingested,Log bucket monthly bytes ingested,GAUGE,INT64,By,global,"Log bucket month-to-date bytes ingested. Sampled every 1800 seconds. After sampling, data is not visible for up to 6000 seconds."
gcp.logging.billing.monthly_bytes_ingested,Monthly log bytes ingested,GAUGE,INT64,By,global,"Month-to-date log bytes ingested. Sampled every 1800 seconds. After sampling, data is not visible for up to 6000 seconds."
gcp.logging.byte_count,Log bytes,DELTA,INT64,By,,Number of bytes in ingested log entries. Excluded logs are not counted. Sampled every 60 seconds.
gcp.logging.dropped_log_entry_count,Logs-based metric errors (Deprecated),DELTA,INT64,1,,"Use ""logging.googleapis.com/logs_based_metrics_error_count"" instead. Sampled every 60 seconds."
gcp.logging.excluded_byte_count,Excluded log bytes,DELTA,INT64,By,,"Number of bytes in log entries that were excluded. No longer populated after October 1, 2021. Sampled every 60 seconds."
gcp.logging.excluded_log_entry_count,Excluded log entries,DELTA,INT64,1,,"Number of log entries that were excluded. No longer populated after October 1, 2021. Sampled every 60 seconds."
gcp.logging.exports.byte_count,Exported log bytes,DELTA,INT64,By,logging_sink,"Number of bytes in log entries that were exported. Sampled every 60 seconds. After sampling, data is not visible for up to 420 seconds."
gcp.logging.exports.error_count,Exported log entries failures,DELTA,INT64,1,logging_sink,"Number of log entries that failed to be exported. Sampled every 60 seconds. After sampling, data is not visible for up to 420 seconds."
gcp.logging.exports.log_entry_count,Exported log entries,DELTA,INT64,1,logging_sink,"Number of log entries that were exported. Sampled every 60 seconds. After sampling, data is not visible for up to 420 seconds."
gcp.logging.log_entry_count,Log entries,DELTA,INT64,1,,Number of ingested log entries. Excluded logs are not counted. Sampled every 60 seconds.
gcp.logging.logs_based_metrics_error_count,Logs-based metric errors,DELTA,INT64,1,,"Number of ingested log entries that are not counted in system or user-defined logs-based metrics. This condition can occur if the timestamp of a log entry is more than 24 hours older, or 10 minutes newer, than the actual receive time. Sampled every 60 seconds."
gcp.logging.metric_label_cardinality,Logs-based metric active cardinality count by label,GAUGE,INT64,1,metric,"Cardinality estimate for each metric label of a logs-based metric. The estimate is computed over approximately 25 hours. Sampled every 60 seconds. After sampling, data is not visible for up to 270 seconds."
gcp.logging.metric_label_throttled,Logs-based metric label throttled status,GAUGE,BOOL,(blank),metric,"Indicates if metric labels are being dropped for logs-based metrics due to exceeding cardinality limits. Sampled every 60 seconds. After sampling, data is not visible for up to 270 seconds."
gcp.logging.metric_throttled,Logs-based metric throttled status,GAUGE,BOOL,(blank),metric,"Indicates if labels or points are being dropped for logs-based metrics due to exceeding active time series (cardinality) limits. Sampled every 60 seconds. After sampling, data is not visible for up to 270 seconds."
gcp.logging.time_series_count,Logs-based metric active time series (cardinality) count,GAUGE,INT64,1,metric,"Active time series (cardinality) estimates for logs-based metrics. Only metric labels are counted and the estimate is computed over approximately 25 hours. Sampled every 60 seconds. After sampling, data is not visible for up to 270 seconds."
