metric_name,metric_display,metric_kind,metric_type,metric_ unit,metric_resource,metric_description
gcp.loadbalancing.https.backend_latencies,Backend latency,DELTA,DISTRIBUTION,ms,https_lb_rule,"A distribution of the latency calculated from when the request was sent by the proxy to the backend until the proxy received from the backend the last byte of response. Sampled every 60 seconds. After sampling, data is not visible for up to 210 seconds."
gcp.loadbalancing.https.backend_request_bytes_count,Backend Request Bytes,DELTA,INT64,By,https_lb_rule,"The number of bytes sent as requests from HTTP/S load balancer to backends. Sampled every 60 seconds. After sampling, data is not visible for up to 210 seconds."
gcp.loadbalancing.https.backend_request_count,Backend Request Count,DELTA,INT64,1,https_lb_rule,"The number of requests served by backends of HTTP/S load balancer. Sampled every 60 seconds. After sampling, data is not visible for up to 210 seconds."
gcp.loadbalancing.https.backend_response_bytes_count,Backend Response Bytes,DELTA,INT64,By,https_lb_rule,"The number of bytes sent as responses from backends (or cache) to HTTP/S load balancer. Sampled every 60 seconds. After sampling, data is not visible for up to 210 seconds."
gcp.loadbalancing.https.frontend_tcp_rtt,Frontend RTT,DELTA,DISTRIBUTION,ms,https_lb_rule,"A distribution of the RTT measured for each connection between client and proxy. Sampled every 60 seconds. After sampling, data is not visible for up to 210 seconds."
gcp.loadbalancing.https.internal.backend_latencies,Backend latencies,DELTA,DISTRIBUTION,ms,internal_http_lb_rule,"A distribution of the latency calculated from when the request was sent by the proxy to the backend until the proxy received from the backend the last byte of response. Sampled every 60 seconds. After sampling, data is not visible for up to 90 seconds."
gcp.loadbalancing.https.internal.request_bytes_count,Request bytes,DELTA,INT64,By,internal_http_lb_rule,"The number of bytes sent as requests from clients to HTTP/S load balancer. Sampled every 60 seconds. After sampling, data is not visible for up to 90 seconds."
gcp.loadbalancing.https.internal.request_count,Request count,DELTA,INT64,1,internal_http_lb_rule,"The number of requests served by HTTP/S load balancer. Sampled every 60 seconds. After sampling, data is not visible for up to 90 seconds."
gcp.loadbalancing.https.internal.response_bytes_count,Response bytes,DELTA,INT64,By,internal_http_lb_rule,"The number of bytes sent as responses from HTTP/S load balancer to clients. Sampled every 60 seconds. After sampling, data is not visible for up to 90 seconds."
gcp.loadbalancing.https.internal.total_latencies,Total latencies,DELTA,DISTRIBUTION,ms,internal_http_lb_rule,"A distribution of the latency calculated from when the request was received by the proxy until the proxy got ACK from client on last response byte. Sampled every 60 seconds. After sampling, data is not visible for up to 90 seconds."
