metric_name,metric_display,metric_kind,metric_type,metric_ unit,metric_resource,metric_description
gcp.spanner.api.api_request_count,API requests,DELTA,INT64,1,spanner_instance,"Cloud Spanner API requests. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.spanner.api.received_bytes_count,Bytes received by Cloud Spanner.,DELTA,INT64,By,spanner_instance,"Uncompressed request bytes received by Cloud Spanner. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.spanner.api.request_count,API request rate,GAUGE,DOUBLE,1/s,spanner_instance,"Rate of Cloud Spanner API requests. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.spanner.api.request_latencies,Request latencies,DELTA,DISTRIBUTION,s,spanner_instance,"Distribution of server request latencies for a database. This includes latency of request processing in Cloud Spanner backends and API layer. It does not include network or reverse-proxy overhead between clients and servers. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.spanner.api.sent_bytes_count,Bytes sent by Cloud Spanner.,DELTA,INT64,By,spanner_instance,"Uncompressed response bytes sent by Cloud Spanner. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.spanner.instance.backup.used_bytes,Backup storage used.,GAUGE,INT64,By,spanner_instance,"Backup storage used in bytes. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.spanner.instance.cpu.smoothed_utilization,Smoothed CPU utilization,GAUGE,DOUBLE,10^2.%,spanner_instance,"24-hour smoothed utilization of provisioned CPU. Values are typically numbers between 0.0 and 1.0 (but might exceed 1.0), charts display the values as a percentage between 0% and 100% (or more). Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.spanner.instance.cpu.utilization,CPU utilization,GAUGE,DOUBLE,10^2.%,spanner_instance,"Percent utilization of provisioned CPU. Values are typically numbers between 0.0 and 1.0 (but might exceed 1.0), charts display the values as a percentage between 0% and 100% (or more). Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.spanner.instance.cpu.utilization_by_operation_type,CPU utilization by operation type,GAUGE,DOUBLE,10^2.%,spanner_instance,"Percent utilization of provisioned CPU, by operation type. Values are typically numbers between 0.0 and 1.0 (but might exceed 1.0), charts display the values as a percentage between 0% and 100% (or more). Currently, it does not include CPU utilization for system tasks. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.spanner.instance.cpu.utilization_by_priority,CPU utilization by priority,GAUGE,DOUBLE,10^2.%,spanner_instance,"Percent utilization of provisioned CPU, by priority. Values are typically numbers between 0.0 and 1.0 (but might exceed 1.0), charts display the values as a percentage between 0% and 100% (or more). Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.spanner.instance.node_count,Nodes,GAUGE,INT64,1,spanner_instance,"Total number of nodes. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.spanner.instance.processing_units,Processing units,GAUGE,INT64,1,spanner_instance,"Total number of processing units. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.spanner.instance.session_count,Sessions,GAUGE,INT64,1,spanner_instance,"Number of sessions in use. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.spanner.instance.storage.limit_bytes,Storage limit,GAUGE,INT64,By,spanner_instance,"Storage limit for instance in bytes. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.spanner.instance.storage.limit_bytes_per_processing_unit,Storage limit per processing unit,GAUGE,INT64,By,spanner_instance,"Storage limit per processing unit in bytes. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.spanner.instance.storage.used_bytes,Storage used.,GAUGE,INT64,By,spanner_instance,"Storage used in bytes. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.spanner.instance.storage.utilization,Storage utilization,GAUGE,DOUBLE,10^2.%,spanner_instance,"Storage used as a fraction of storage limit. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.spanner.query_count,Count of queries,DELTA,INT64,1,spanner_instance,"Count of queries by database name, status, query type, and used optimizer version. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
