metric_name,metric_display,metric_kind,metric_type,metric_ unit,metric_resource,metric_description
gcp.router.best_received_routes_count,Received routes count,GAUGE,INT64,1,gce_router,"Current number of best routes received by router. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.router.bfd.control.receive_intervals,BFD control packets receive intervals,GAUGE,INT64,ms,gce_router,"BFD control packets receive intervals. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.router.bfd.control.received_packets_count,Control packets received,DELTA,INT64,1,gce_router,"Number of control packets received from this BFD session. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.router.bfd.control.rejected_packets_count,Control packets rejected,DELTA,INT64,1,gce_router,"Number of control packets rejected, from this BFD session. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.router.bfd.control.transmit_intervals,BFD control packets transmit intervals,GAUGE,INT64,ms,gce_router,"BFD control packets transmit intervals. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.router.bfd.control.transmitted_packets_count,Control packets transmitted,DELTA,INT64,1,gce_router,"Number of control packets transmitted from this BFD session. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.router.bfd.session_flap_events_count,BFD session flap,DELTA,INT64,1,gce_router,"Number of each BFD flap event from this BFD session. A session flap event refers to the transition from Up state. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.router.bfd.session_up,BFD session status,GAUGE,INT64,1,gce_router,"Indicator for successful BFD session establishment. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.router.bgp.received_routes_count,BGP received routes count,GAUGE,INT64,1,gce_router,"Current number of routes received on a bgp session. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.router.bgp.sent_routes_count,BGP sent routes count,GAUGE,INT64,1,gce_router,"Current number of routes sent on a bgp session. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.router.bgp.session_up,BGP session status,GAUGE,INT64,1,gce_router,"Indicator for successful bgp session establishment. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.router.bgp_sessions_down_count,BGP sessions down count,GAUGE,INT64,1,gce_router,"Number of BGP sessions on the router that are down. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.router.bgp_sessions_up_count,BGP sessions up count,GAUGE,INT64,1,gce_router,"Number of BGP sessions on the router that are up. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.router.dynamic_routes.learned_routes.any_dropped_unique_destinations,Any unique destinations dropped,GAUGE,BOOL,1,gce_network_region,"A boolean metric of whether there are any unique destinations dropped in a network region due to exceeding quota. Sampled every 60 seconds. After sampling, data is not visible for up to 60 seconds."
gcp.router.dynamic_routes.learned_routes.dropped_unique_destinations,Unique destinations dropped,GAUGE,INT64,1,gce_network_region,"The number of unique destinations dropped in a network region due to exceeding quota. Sampled every 60 seconds. After sampling, data is not visible for up to 60 seconds."
gcp.router.dynamic_routes.learned_routes.unique_destinations_limit,Unique destinations limit,GAUGE,INT64,1,gce_network_region,"The maximum number of unique destinations allowed by route quota for this network region. Sampled every 60 seconds. After sampling, data is not visible for up to 60 seconds."
gcp.router.dynamic_routes.learned_routes.used_unique_destinations,Unique destinations used,GAUGE,INT64,1,gce_network_region,"Number of unique destinations used by learned routes for this network region. Sampled every 60 seconds. After sampling, data is not visible for up to 60 seconds."
gcp.router.nat.allocated_ports,Allocated ports,GAUGE,INT64,{port},nat_gateway,"Number of ports allocated to all VMs by the NAT gateway. Sampled every 60 seconds. After sampling, data is not visible for up to 225 seconds."
gcp.router.nat.closed_connections_count,Closed connections count,DELTA,INT64,{connection},nat_gateway,"Count of connections closed over the NAT gateway. Sampled every 60 seconds. After sampling, data is not visible for up to 225 seconds."
gcp.router.nat.dropped_received_packets_count,Received packets dropped count,DELTA,INT64,{packet},nat_gateway,"Count of received packets dropped by the NAT gateway. Sampled every 60 seconds. After sampling, data is not visible for up to 225 seconds."
gcp.router.nat.dropped_sent_packets_count,Sent packets dropped count,DELTA,INT64,{packet},nat_gateway,"Count of sent packets dropped by the NAT gateway. Sampled every 60 seconds. After sampling, data is not visible for up to 225 seconds."
gcp.router.nat.nat_allocation_failed,NAT allocation failed,GAUGE,BOOL,(blank),nat_gateway,"Indicates if there is a failure in allocating NAT IPs to any VM in the NAT gateway. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.router.nat.new_connections_count,New connections count,DELTA,INT64,{connection},nat_gateway,"Count of new connections created over the NAT gateway. Sampled every 60 seconds. After sampling, data is not visible for up to 225 seconds."
